,best_NN_score_alpha1.5
628,19.011316
629,10.018723
630,11.834863
631,11.964955
632,10.980107
633,6.4187393
634,8.304177
635,11.138535
636,13.72893
637,9.678302
638,15.850076
639,12.6798525
640,24.113388
641,7.905477
642,6.56237
643,12.012255
644,8.450248
645,13.313854
646,8.459006
647,18.690071
648,11.303857
649,13.352527
650,10.29527
651,19.197454
652,18.678968
653,9.363563
654,14.455058
655,14.16298
656,14.822869
657,17.169512
658,11.891549
659,10.58129
660,11.605065
661,18.030796
662,13.367116
663,12.233903
664,10.73644
665,5.722681
666,12.089586
667,14.624165
668,5.3910694
669,13.295049
670,12.286952
671,18.465292
672,11.899705
673,6.273516
674,16.95151
675,4.024407
676,11.303004
677,11.605273
678,7.5581646
679,10.669045
680,17.403402
681,14.2243185
682,7.838878
683,7.046687
684,8.889171
685,17.65449
686,11.793086
687,10.545816
688,16.476559
689,16.800995
690,17.916327
691,10.364342
692,9.750298
693,8.10991
694,15.522326
695,10.621228
696,3.0290086
697,8.278539
698,14.985223
699,26.673166
700,17.075584
701,15.07008
702,13.3879175
703,4.6693206
704,5.247357
705,10.899426
706,9.515506
707,11.147191
708,7.0510244
709,9.11136
710,8.841617
711,10.177255
712,7.282597
713,11.190101
714,9.660253
715,16.5004
716,9.912789
717,12.223918
718,13.745022
719,11.687686
720,5.9238057
721,7.577952
722,8.344123
723,14.70423
724,10.961183
725,9.535581
726,7.9299645
727,13.945367
728,12.145367
729,9.191092
730,3.951073
731,8.629345
732,10.550435
733,3.5674553
734,19.384176
735,17.179
736,13.630851
737,10.752894
738,5.794187
739,10.530905
740,7.618021
741,16.303686
742,11.37173
743,20.748758
744,7.476919
745,6.777888
746,6.9086394
747,18.245287
748,9.940625
749,5.269607
750,17.15557
751,7.980721
752,9.235213
753,15.21947
754,20.147373
755,8.363149
756,5.705704
757,4.7612157
758,15.026767
759,16.227903
760,14.707624
761,9.199887
762,27.840704
763,6.8223453
764,7.600347
765,10.857406
766,5.2884808
767,18.737978
768,10.33541
769,7.1250424
770,18.37983
771,10.986732
772,14.689058
773,16.376652
774,6.784299
775,10.174804
776,12.59772
777,3.131638
778,22.470194
779,5.094135
780,11.07274
781,14.577571
782,21.424862
783,10.820098
784,10.747757
785,4.119403
786,15.50093
787,8.556809
788,10.049634
789,10.385091
790,15.578723
791,14.130864
792,19.385792
793,19.113308
794,4.921438
795,10.389384
796,5.6648927
797,17.752851
798,6.7348895
799,11.492849
800,4.777032
801,9.473306
802,12.822621
803,9.800115
804,5.6265874
805,9.424535
806,9.963769
807,11.739387
808,10.84596
809,9.118412
810,5.2814
811,8.925775
812,9.915154
813,17.261028
814,19.207674
815,8.61189
816,7.4089837
817,7.820716
818,10.05178
819,18.690456
820,19.14807
821,6.8180275
822,21.303831
823,13.220939
824,6.6007
825,10.882333
826,9.740958
827,14.919347
828,12.526944
829,4.515218
830,4.038809
831,7.31722
832,4.8731103
833,10.408083
834,12.889666
835,12.393955
836,16.482693
837,16.790106
838,11.440705
839,4.6755157
840,11.463298
841,12.346063
842,9.728571
843,15.899058
844,10.972524
845,11.518859
846,12.846982
847,12.685065
848,14.145363
849,4.0316834
850,25.117964
851,10.7554655
852,10.862728
853,15.317412
854,14.684482
855,6.5041404
856,3.626499
857,29.19948
858,13.998088
859,6.091858
860,11.213637
861,11.77695
862,9.185843
863,3.9861326
864,19.478348
865,5.3211966
866,9.811015
867,15.191348
868,10.935124
869,10.484999
870,19.910398
871,4.655495
872,13.051488
873,7.7622876
874,15.268982
875,11.529779
876,16.013775
877,9.638476
878,5.0268035
879,4.6650147
880,10.738864
881,5.8590555
882,8.170671
883,11.855844
884,20.718004
885,4.459789
886,10.823783
887,13.347165
888,13.712534
889,16.957695
890,13.66528
891,13.203773
892,16.531345
893,15.671231
894,9.934582
895,19.03575
896,4.996154
897,11.9928465
898,20.878973
899,9.181394
900,12.6625395
901,12.08311
902,9.94076
903,13.603286
904,14.313286
905,4.7144628
906,16.534613
907,17.777609
908,28.645319
909,8.860005
910,4.3302073
911,7.7433524
912,16.243595
913,14.234767
914,16.302103
915,4.94855
916,8.381933
917,8.589282
918,7.7983
919,7.279027
920,18.588234
921,15.75475
922,20.063492
923,7.1473174
924,15.900532
925,17.421133
926,10.197305
927,14.7979555
928,3.9824739
929,9.194787
930,25.812525
931,10.025697
932,14.264346
933,13.00755
934,11.398763
935,8.643256
936,9.59037
937,14.78573
938,23.937082
939,18.846315
940,9.230828
941,13.96424
942,5.4334044
943,11.737903
944,18.2312
945,16.386536
946,4.394152
947,12.032372
948,10.284936
949,17.017797
950,13.207232
951,4.762566
952,11.716714
953,15.823329
954,7.97519
955,6.3103747
956,13.314882
957,14.476819
958,4.9214597
959,5.2756333
960,5.3775525
961,11.793993
962,12.654148
963,11.829558
964,5.488437
965,10.406902
966,18.775871
967,4.8659115
968,10.398194
969,11.316034
970,12.874798
971,12.987754
972,11.2342205
973,10.946587
974,8.057203
975,8.170286
976,15.795636
977,12.926906
978,12.028834
979,15.351724
980,15.411876
981,4.540913
982,11.927559
983,4.400207
984,12.02793
985,9.496554
986,11.49577
987,12.4568815
988,6.348072
989,11.305223
990,4.533375
991,8.176407
992,11.232088
993,15.916347
994,4.726341
995,8.844235
996,3.9606075
997,9.41545
998,11.542333
999,8.120865
1000,8.184302
1001,17.05539
1002,13.296821
1003,3.853582
1004,4.609362
1005,9.38968
1006,6.223286
1007,16.64701
1008,12.2947
1009,6.1189437
1010,12.028818
1011,15.496333
1012,9.320294
1013,6.9086766
1014,4.797163
1015,7.7079544
1016,9.147843
1017,20.96946
1018,5.3573294
1019,12.250983
1020,5.1590004
1021,12.957207
1022,11.961838
1023,15.472522
1024,13.659802
1025,8.674911
1026,4.3279095
1027,19.220297
1028,17.051668
1029,13.766481
1030,15.452028
1031,11.179421
1032,6.413893
1033,5.6043096
1034,10.53543
1035,16.22125
1036,11.989123
1037,4.830647
1038,7.849729
1039,10.1434355
1040,7.2537475
1041,15.345589
1042,8.778925
1043,16.8044
1044,13.512244
1045,9.270192
1046,11.258402
1047,5.1179986
1048,9.401374
1049,14.769551
1050,8.316607
1051,12.511276
1052,19.037949
1053,10.389876
1054,12.311982
1055,8.944903
1056,9.429798
1057,13.479956
1058,5.2225347
1059,5.949334
1060,12.565082
1061,7.782504
1062,9.910712
1063,11.001084
1064,4.4142513
1065,10.740442
1066,14.092834
1067,5.8199263
1068,8.601172
1069,19.64923
1070,9.540363
1071,9.395856
1072,10.74103
1073,5.9711175
1074,9.453942
1075,6.728637
1076,15.913814
1077,8.950427
1078,5.861355
1079,14.817854
1080,11.3579
1081,10.114623
1082,9.35411
1083,4.0834575
1084,23.025614
1085,11.913821
1086,4.6229267
1087,15.843228
1088,7.386448
1089,11.289408
1090,14.795514
1091,4.317672
1092,9.189477
1093,4.287233
1094,10.825202
1095,4.0648394
1096,14.50578
1097,9.067883
1098,22.823114
1099,3.580308
1100,13.266053
1101,10.972323
1102,20.137087
1103,10.719475
1104,9.837932
1105,8.46669
1106,5.345346
1107,5.962095
1108,15.504701
1109,11.96177
1110,7.410841
1111,5.008482
1112,8.921153
1113,10.291259
1114,14.488027
1115,8.87324
1116,17.877352
1117,11.969499
1118,18.916616
1119,8.749192
1120,10.263593
1121,12.644349
1122,20.364836
1123,8.282319
1124,5.570073
1125,10.948344
1126,14.935684
1127,5.820454
1128,6.3806653
1129,12.073182
1130,10.544503
1131,8.39145
1132,9.356071
1133,5.2296433
1134,16.247025
1135,17.631908
1136,9.182603
1137,11.616208
1138,12.091083
1139,5.0940313
1140,9.942632
1141,11.085017
1142,12.207614
1143,3.445369
1144,13.107002
1145,12.05664
1146,6.3054194
1147,12.071629
1148,10.857231
1149,4.36151
1150,11.471683
1151,13.881846
1152,5.224774
1153,5.575457
1154,19.656387
1155,12.882335
1156,20.819902
1157,13.510909
1158,6.434365
1159,4.431758
1160,8.597779
1161,5.926925
1162,12.693233
1163,9.98099
1164,10.152949
1165,12.05412
1166,23.013563
1167,7.1552944
1168,12.785081
1169,5.75318
1170,4.8827333
1171,10.812184
1172,13.14213
1173,16.044264
1174,12.146823
1175,9.825896
1176,5.834724
1177,10.163243
1178,9.861548
1179,14.2781515
1180,5.5907645
1181,6.336141
1182,6.313404
1183,16.570898
1184,8.2354965
1185,14.319891
1186,13.01864
1187,11.224526
1188,20.278494
1189,25.97533
1190,16.097925
1191,11.700437
1192,7.5370283
1193,4.7208548
1194,15.820618
1195,15.510218
1196,10.190865
1197,14.456717
1198,9.333867
1199,14.593885
1200,5.2883725
1201,5.668854
1202,5.695414
1203,23.771963
1204,14.536867
1205,11.94011
1206,19.822105
1207,10.413917
1208,15.357116
1209,13.095299
1210,13.817683
1211,7.064738
1212,10.092711
1213,12.898816
1214,7.2922673
1215,9.557593
1216,20.867098
1217,10.240983
1218,9.45088
1219,9.631747
1220,9.584858
1221,15.373208
1222,14.189614
1223,19.219858
1224,4.5772996
1225,4.884185
1226,13.529941
1227,3.521571
1228,16.30799
1229,13.261996
1230,12.733451
1231,13.356794
1232,19.934898
1233,4.002603
1234,12.958596
1235,5.362344
1236,14.024837
1237,5.862175
1238,8.346917
1239,11.279544
1240,14.925886
1241,10.506885
1242,12.032992
1243,6.947427
1244,9.046206
1245,5.828365
1246,13.598933
1247,13.641652
1248,10.527514
1249,8.367611
1250,11.6782055
1251,7.7234483
1252,9.110429
1253,8.313056
1254,12.3862505
1255,10.515894
1256,4.4431496
1257,9.596242
1258,12.742473
1259,18.360004
1260,13.574433
1261,16.03625
1262,20.371138
1263,11.27016
1264,3.9304667
1265,18.929716
1266,18.057909
1267,13.601299
1268,4.9370456
1269,5.6572604
1270,9.387048
1271,9.978742
1272,12.991069
1273,9.104069
1274,10.076354
1275,17.133778
1276,11.377485
1277,5.975651
1278,12.519396
1279,10.602828
1280,5.082628
1281,12.849309
1282,8.094946
1283,17.122232
1284,7.119144
1285,9.665452
1286,17.079731
1287,15.366264
1288,12.477877
1289,4.36757
1290,9.808631
1291,11.257356
1292,14.065735
1293,4.1989317
1294,14.835139
1295,9.323741
1296,17.79214
1297,13.400639
1298,12.695325
1299,13.4338045
1300,21.213903
1301,14.3008585
1302,8.676963
1303,7.5611725
1304,12.149785
1305,8.593283
1306,10.252023
1307,8.016903
1308,13.14992
1309,10.618677
1310,11.90739
1311,10.626414
1312,9.7779665
1313,4.3023577
1314,9.6114645
1315,14.08564
1316,14.703086
1317,8.286817
1318,4.2847958
1319,16.116644
1320,7.5119123
1321,5.486718
1322,12.021152
1323,14.325593
1324,5.3543353
1325,4.269277
1326,13.473353
1327,4.778792
1328,15.007976
1329,11.354648
1330,5.6539187
1331,9.857101
1332,12.162805
1333,4.743835
1334,12.002963
1335,21.462244
1336,4.795582
1337,11.5891485
1338,5.002515
1339,12.707337
1340,8.912374
1341,4.2589645
1342,14.345408
1343,4.4830766
1344,9.498731
1345,3.675365
1346,8.583707
1347,10.792257
1348,9.880615
1349,18.845675
1350,14.036972
1351,9.760108
1352,16.999836
1353,12.570907
1354,8.137377
1355,7.2000337
1356,7.8174415
1357,18.542883
1358,4.695359
1359,13.766598
1360,3.8145351
1361,4.6592326
1362,18.204395
1363,16.299932
1364,5.2793164
1365,16.359499
1366,11.197013
1367,5.510262
1368,7.3837295
1369,6.189462
1370,13.813304
1371,11.197464
1372,14.753232
1373,14.246158
1374,9.8334055
1375,10.624539
1376,11.296422
1377,14.894996
1378,10.35488
1379,9.267594
1380,6.2887397
1381,12.086248
1382,16.485863
1383,13.055417
1384,5.8869553
1385,8.284556
1386,11.820222
1387,16.548956
1388,8.588481
1389,16.440678
1390,10.800096
1391,18.512201
1392,17.275122
1393,16.552088
1394,11.810615
1395,9.387719
1396,15.225093
1397,16.46106
1398,9.924816
1399,20.180544
1400,4.7270308
1401,4.8823586
1402,9.681806
1403,12.8984
1404,17.161236
1405,13.682232
1406,18.676914
1407,11.646879
1408,12.633357
1409,17.442673
1410,19.125553
1411,12.741046
1412,5.0851455
1413,8.3072195
1414,3.407289
1415,10.307145
1416,14.658816
1417,21.000101
1418,3.738988
1419,15.698149
1420,10.153844
1421,11.970325
1422,16.203844
1423,9.647112
1424,9.322904
1425,5.90986
1426,11.272353
1427,14.519686
1428,7.605711
1429,12.293054
1430,11.246656
1431,11.018989
1432,10.786082
1433,18.263552
1434,13.599295
1435,8.096714
1436,11.34491
1437,11.616096
1438,19.20912
1439,9.534555
1440,13.947036
1441,14.618075
1442,4.786359
1443,10.164319
1444,10.856809
1445,16.94545
1446,4.1593895
1447,4.322923
1448,17.492258
1449,10.9131155
1450,18.490177
1451,11.160325
1452,3.9836826
1453,5.9614806
1454,11.552398
1455,6.924591
1456,10.633868
1457,12.675071
1458,18.973177
1459,6.0053406
1460,11.178748
1461,3.7026455
1462,5.335772
1463,14.743746
1464,21.441946
1465,11.795833
1466,10.270986
1467,11.983422
1468,19.781277
1469,13.216849
1470,10.112821
1471,12.8474245
1472,12.1878195
1473,7.4258003
1474,5.412267
1475,3.2817729
1476,16.89707
1477,12.062589
1478,15.712688
1479,4.5035563
1480,15.094634
1481,5.167182
1482,12.481431
1483,9.294179
1484,11.546617
1485,14.47179
1486,11.027277
1487,5.743843
1488,10.733401
1489,3.1617615
1490,14.566362
1491,8.011761
1492,12.725392
1493,11.217607
1494,5.235238
1495,14.870347
1496,15.231428
1497,10.474844
1498,17.72906
1499,15.788178
1500,8.031062
1501,7.4413805
1502,14.560994
1503,5.914985
1504,17.141415
1505,13.089646
1506,11.489921
1507,13.575482
1508,10.091739
1509,8.996533
1510,4.7880354
1511,24.479826
1512,20.532991
1513,8.899867
1514,6.041908
1515,11.974797
1516,10.731725
1517,15.930742
1518,9.053876
1519,5.5816655
1520,12.0303755
1521,10.787722
1522,13.761138
1523,7.999459
1524,9.678862
1525,9.119661
1526,20.11782
1527,12.118363
1528,17.174784
1529,13.6052885
1530,11.49796
1531,15.05549
1532,3.9225311
1533,12.630223
1534,9.433751
1535,8.374925
1536,13.052209
1537,13.677468
1538,11.981759
1539,5.859792
1540,4.803141
1541,13.655169
1542,10.753033
1543,12.215528
1544,12.535765
1545,13.069487
1546,23.402723
1547,9.659816
1548,14.860545
1549,15.592977
1550,11.382628
1551,10.607161
1552,4.422183
1553,7.672689
1554,10.42409
1555,5.521973
1556,14.658176
1557,14.977142
1558,14.321872
1559,4.696237
1560,5.0433807
1561,11.299667
1562,6.434179
1563,19.283468
1564,11.483127
1565,7.949585
1566,13.82791
1567,12.379424
1568,17.515652
1569,10.548856
1570,12.3784
1571,19.800436
1572,12.0959425
1573,9.825584
1574,16.15098
1575,23.80052
1576,13.185113
1577,4.9229474
1578,6.29666
1579,20.954893
1580,9.881721
1581,16.825613
1582,10.731917
1583,16.807472
1584,11.097519
1585,4.240879
1586,17.06157
1587,11.743127
1588,10.590122
1589,11.567531
1590,4.893783
1591,8.899701
1592,5.242864
1593,12.204857
1594,10.076961
1595,14.192723
1596,5.0516467
1597,12.869809
1598,6.235247
1599,15.641423
1600,9.585295
1601,10.950629
1602,17.636322
1603,16.50516
1604,7.1159225
1605,8.923784
1606,10.529811
1607,10.47091
1608,10.506021
1609,8.290224
1610,13.398559
1611,14.142276
1612,5.034373
1613,19.441925
1614,15.397563
1615,16.371761
1616,7.6381946
1617,5.719012
1618,10.47684
1619,4.8521647
1620,16.785418
1621,12.53855
1622,10.408907
1623,13.415386
1624,13.649116
1625,13.081368
1626,9.453977
1627,4.998561
1628,17.519997
1629,22.918962
1630,9.930889
1631,8.454518
1632,10.97569
1633,11.279435
1634,8.406412
1635,14.66261
1636,11.695822
1637,3.8459713
1638,12.438996
1639,7.974745
1640,13.4915495
1641,14.146394
1642,7.777041
1643,18.009882
1644,17.996214
1645,3.6826973
1646,5.2996945
1647,6.757563
1648,13.412513
1649,9.866294
1650,5.6942763
1651,9.606479
1652,19.323507
1653,10.482868
1654,23.82164
1655,6.047172
1656,11.466716
1657,7.7665763
1658,7.1495433
1659,7.659061
1660,14.082921
1661,6.308268
1662,10.550923
1663,17.277122
1664,8.504491
1665,8.478117
1666,19.239172
1667,11.596032
1668,5.7479243
1669,7.9204416
1670,6.876428
1671,12.707273
1672,12.428655
1673,17.920153
1674,6.0303435
1675,14.781703
1676,14.121888
1677,4.178522
1678,4.469584
1679,12.6692095
1680,18.787527
1681,20.878574
1682,8.955769
1683,17.117645
1684,4.9595885
1685,4.697774
1686,18.85494
1687,11.41138
1688,13.23051
1689,8.734379
1690,5.247091
1691,11.299649
1692,10.961577
1693,12.273246
1694,9.000577
1695,9.301738
1696,4.526197
1697,10.249112
1698,9.090236
1699,16.251862
1700,12.179795
1701,10.481929
1702,6.2751775
1703,10.537988
1704,14.935848
1705,11.184058
1706,16.354351
1707,9.052086
1708,15.685529
1709,5.1480145
1710,11.977683
1711,18.301006
1712,10.437875
1713,12.171123
1714,9.149158
1715,8.395315
1716,11.114614
1717,11.829179
1718,9.6647215
1719,14.162569
1720,11.793389
1721,7.584001
1722,5.7190332
1723,4.6025696
1724,4.779063
1725,15.972753
1726,19.0322
1727,10.898347
1728,10.487592
1729,7.525377
1730,7.960443
1731,13.866021
1732,10.711814
1733,9.470276
1734,5.0461664
1735,10.072001
1736,17.044958
1737,10.712985
1738,17.275805
1739,10.450263
1740,14.031784
1741,12.107921
1742,4.871721
1743,7.3839736
1744,13.228586
1745,3.0061378
1746,3.323142
1747,11.876813
1748,10.438824
1749,11.257164
1750,12.984277
1751,5.6404405
1752,7.1233373
1753,22.464264
1754,8.993172
1755,16.952768
1756,14.87839
1757,3.6053393
1758,5.159796
1759,10.69678
1760,20.30145
1761,4.7998643
1762,12.026229
1763,4.5513983
1764,10.611044
1765,14.154471
1766,6.8442025
1767,7.4644794
1768,11.459201
1769,15.024494
1770,15.498071
1771,11.364417
1772,9.764289
1773,8.184602
1774,12.291034
1775,17.886871
1776,7.493945
1777,5.0210505
1778,11.9269705
1779,9.247739
1780,16.9691
1781,12.398387
1782,9.197493
1783,11.963142
1784,14.105848
1785,5.425766
1786,11.179568
1787,9.571073
1788,19.49346
1789,6.4435453
1790,6.5326962
1791,4.005977
1792,13.895293
1793,10.341765
1794,11.631938
1795,17.775042
1796,12.611882
1797,17.102367
1798,9.90062
1799,12.357919
1800,11.181191
1801,5.6954026
1802,8.868278
1803,6.749956
1804,6.300814
1805,10.472153
1806,11.837581
1807,10.006608
1808,15.58003
1809,10.855054
1810,9.407338
1811,7.521148
1812,4.6615515
1813,12.463071
1814,16.454765
1815,21.514738
1816,13.688642
1817,6.7521534
1818,11.058147
1819,13.002721
1820,11.095763
1821,19.123272
1822,17.647959
1823,10.237683
1824,11.079924
1825,8.507001
1826,10.651781
1827,9.050319
1828,7.2706804
1829,3.2196248
1830,10.453496
1831,13.90232
1832,9.507948
1833,14.980791
1834,10.5052
1835,8.054765
1836,7.1056256
