,best_NN_score_alpha1_5_tr
166,4.170116
167,13.83355
168,14.48074
169,12.496382
170,11.256857
171,11.0699625
172,5.956864
173,12.937005
174,15.06551
175,15.335885
176,15.449294
177,4.7404466
178,3.8666599
179,2.6132712
180,12.08732
181,14.768677
182,11.323206
183,9.207205
184,4.5718856
185,5.2607183
186,6.4054337
187,13.297306
188,18.88063
189,5.1206875
190,13.44992
191,10.945898
192,10.985077
193,3.19888
194,5.074773
195,14.477058
196,9.226451
197,4.4821343
198,3.949501
199,15.3776655
200,11.697216
201,18.860624
202,3.7496827
203,5.05165
204,6.8571916
205,2.5351622
206,6.8464375
207,11.760141
208,15.950038
209,15.326459
210,5.31201
211,16.853575
212,10.116154
213,13.714186
214,21.729437
215,12.461649
216,15.261321
217,3.2752056
218,4.898105
219,12.910786
220,4.097634
221,5.726006
222,3.1343362
223,10.509387
224,9.791431
225,11.66172
226,13.95067
227,15.786127
228,13.988598
229,14.834571
230,8.2998
231,10.072359
232,7.5947094
233,11.913683
234,5.2877803
235,2.9618897
236,14.524134
237,12.392591
238,19.20468
239,18.325085
240,18.953726
241,9.694706
242,9.844851
243,9.948364
244,10.441643
245,17.470312
246,11.327631
247,5.354163
248,12.414663
249,17.447046
250,10.815143
251,4.8759165
252,8.105665
253,10.942898
254,5.160577
255,10.407961
256,11.978313
257,10.859316
258,10.258138
259,16.345469
260,14.130378
261,4.0844245
262,12.277005
263,12.289284
264,11.132294
265,4.657737
266,9.221964
267,11.063248
268,9.518163
269,4.968299
270,10.7652025
271,10.076814
272,11.647398
273,15.901701
274,11.501314
275,5.7691936
276,26.92601
277,3.9890625
278,14.640706
279,12.873854
280,11.427545
281,9.541845
282,17.500257
283,13.57337
284,10.290903
285,7.0501757
286,10.512413
287,12.624208
288,10.152499
289,13.663956
290,11.319892
291,19.64063
292,12.167775
293,13.562496
294,4.6269855
295,10.725872
296,10.725111
297,12.207349
298,18.097933
299,11.401933
300,13.222242
301,10.955419
302,10.732026
303,9.052432
304,12.697917
305,11.312244
306,13.844964
307,10.827892
308,4.6263127
309,11.973669
310,13.399714
311,12.835831
312,17.906672
313,19.056303
314,20.013247
315,9.053747
316,12.067261
317,9.672848
318,16.074581
319,18.551737
320,11.158376
321,12.141044
322,16.42938
323,11.00806
324,8.687319
325,11.309782
326,17.679363
327,10.502422
328,15.783286
329,15.930735
330,12.445354
331,14.463142
332,11.403284
333,14.222313
334,11.664523
335,5.954356
336,10.6347275
337,21.962843
338,16.57108
339,5.939725
340,14.689791
341,12.180282
342,5.768046
343,15.004201
344,6.035761
345,14.076117
346,12.131147
347,14.361591
348,12.638058
349,12.805073
350,13.569422
351,11.46448
352,12.294559
353,12.019636
354,17.885815
355,6.7227573
356,9.711748
357,4.660215
358,9.57267
359,13.474134
360,10.934759
361,12.745346
362,9.172405
363,9.3276825
364,8.961392
365,14.794748
366,14.757084
367,5.9085574
368,11.502235
369,5.545658
370,16.786352
371,11.457281
372,8.677938
373,17.154867
374,8.527781
375,8.560956
376,15.190498
377,16.677523
378,6.308466
379,17.75927
380,5.437233
381,11.303165
382,4.9440165
383,20.616007
384,10.400014
385,13.824417
386,20.144611
387,6.9525914
388,6.7818556
389,14.325127
390,8.733899
391,15.296492
392,13.94297
393,12.345201
394,10.087206
395,14.643454
396,13.391763
397,19.002295
398,13.889876
399,15.086909
400,13.2491255
401,11.693346
402,14.491518
403,10.51817
404,4.8602605
405,11.046453
406,4.668623
407,12.270458
408,9.780344
409,8.430542
410,10.17267
411,11.527857
412,7.0616665
413,19.233074
414,6.2613807
415,11.779884
416,12.843012
417,10.45696
418,15.962994
419,19.150114
420,12.950937
421,12.447752
422,3.8236797
423,15.091786
424,12.270561
425,13.645441
426,13.5424
427,12.284098
428,9.57133
429,14.836701
430,10.076323
431,10.168495
432,5.792856
433,9.029594
434,7.3841214
435,7.3604174
436,9.887262
437,12.581249
438,14.988603
439,5.8459053
440,18.861685
441,10.059742
442,13.789226
443,12.729963
444,15.327293
445,5.0502286
446,15.008682
447,4.183405
448,14.896288
449,7.729672
450,7.639984
451,10.951554
452,10.127265
453,9.990268
454,11.331965
455,6.419901
456,13.552185
457,20.689196
458,4.5741777
459,5.699831
460,14.255585
461,13.2844515
462,10.391897
463,5.152697
464,11.506219
465,8.638878
466,7.4087915
467,10.452961
468,14.210411
469,9.945831
470,5.970178
471,17.883358
472,12.545578
473,8.282122
474,10.254881
475,10.612528
476,17.719187
477,4.567836
478,6.4666634
479,14.799452
480,13.461033
481,13.920555
482,4.463344
483,11.415815
484,10.628892
485,8.634779
486,9.874466
487,15.050069
488,9.699142
489,14.135438
490,5.66045
491,14.975232
492,12.386065
493,7.5370564
494,7.334901
495,5.2200813
496,8.534496
497,21.066862
498,4.6890364
499,9.889934
500,12.909254
501,4.6851068
502,8.67643
503,3.9726899
504,5.6024256
505,19.337137
506,4.412114
507,11.984623
508,21.253613
509,16.751543
510,14.539659
511,3.8988273
512,14.236748
513,6.0930305
514,5.4993725
515,4.372856
516,7.571117
517,14.94683
518,4.009238
519,11.7300205
520,8.145765
521,10.838837
522,11.211802
523,8.098369
524,7.2596545
525,12.707036
526,19.012772
527,11.99073
528,5.5579605
529,5.0414677
530,15.499328
531,17.65215
532,10.637456
533,4.961527
534,12.06649
535,11.184834
536,14.281361
537,15.909475
538,10.132206
539,9.730623
540,14.481398
541,10.148681
542,6.3240066
543,10.258583
544,17.378355
545,6.255955
546,3.8555796
547,4.1093345
548,15.857589
549,11.482561
550,9.239561
551,20.598707
552,17.644327
553,16.94133
554,5.3915005
555,5.389262
556,7.962435
557,21.792765
558,13.284666
559,12.172487
560,4.195081
561,4.134346
562,8.514972
563,11.779989
564,4.9146605
565,9.279699
566,9.348096
567,11.147549
568,17.143564
569,18.362148
570,14.152031
571,8.370797
572,15.412138
573,14.511839
574,18.28942
575,6.352445
576,11.697939
577,6.8634434
578,14.701635
579,21.687056
580,7.707444
581,10.36547
582,13.903976
583,14.403928
584,13.31999
585,19.062084
586,9.2462635
587,5.070072
588,4.274248
589,7.3636875
590,14.274876
591,4.3932753
592,9.650291
593,11.182768
594,13.122026
595,10.743205
596,12.054274
597,20.590103
598,21.968119
599,15.968344
600,19.549097
601,3.795758
602,20.891272
603,19.958113
604,11.4954405
605,27.55253
606,9.552763
607,4.8679357
608,5.1441126
609,7.8988
610,17.40803
611,12.784603
612,6.306266
613,7.879243
614,6.339524
615,5.378586
616,15.676428
617,9.048851
618,16.043388
619,11.692633
620,5.5710826
621,8.418269
622,13.550955
623,15.082451
624,8.04738
625,16.807169
626,16.770039
627,5.9063277
628,19.46058
629,9.977026
630,11.272678
631,12.01983
632,10.767944
633,6.5546713
634,7.818612
635,11.3919735
636,14.179863
637,9.980377
638,15.258914
639,12.688389
640,22.362396
641,7.546601
642,6.108139
643,11.602815
644,8.674419
645,12.815779
646,7.7776217
647,19.325256
648,11.128168
649,13.028893
650,10.421291
651,19.77907
652,18.919676
653,9.019527
654,14.974412
655,14.677541
656,13.7281685
657,18.008278
658,11.387721
659,10.83613
660,11.562164
661,18.327127
662,14.209675
663,12.032932
664,10.74623
665,5.615429
666,12.016935
667,14.543912
668,5.249107
669,13.829096
670,12.80179
671,18.896585
672,11.927639
673,5.991247
674,17.148287
675,3.9297035
676,11.059795
677,11.608246
678,7.6549034
679,10.067592
680,17.582008
681,14.443708
682,7.773473
683,7.5514307
684,9.21928
685,17.562216
686,11.675873
687,10.448688
688,17.29146
689,16.70432
690,17.346897
691,10.186554
692,9.44648
693,8.362226
694,15.679304
695,10.812744
696,2.7622116
697,8.243587
698,14.420591
699,25.149782
700,17.336393
701,14.807161
702,13.20022
703,4.4088573
704,5.3654413
705,11.333857
706,9.303238
707,11.441923
708,7.228001
709,7.914507
710,8.6459255
711,10.207602
712,7.44064
713,11.3583355
714,9.8813095
715,16.903868
716,10.0377655
717,12.719261
718,14.206285
719,11.415704
720,5.7515674
721,6.8399177
722,8.350565
723,15.065373
724,10.8570595
725,9.766322
726,7.755415
727,13.8353
728,12.136744
729,9.119236
730,3.707355
731,8.719797
732,10.759134
733,3.3487844
734,20.232393
735,17.43481
736,14.314659
737,10.5961
738,5.7857084
739,10.730839
740,7.484576
741,16.309679
742,11.562223
743,20.9102
744,7.571606
745,6.8958936
746,6.5700307
747,18.593767
748,9.943434
749,5.3437033
750,16.983545
751,7.9296694
752,9.304192
753,13.489997
754,20.14953
755,8.077107
756,5.7310686
757,4.6217823
758,14.456415
759,15.904692
760,14.884347
761,9.292656
762,27.02284
763,6.6411753
764,7.7102275
765,10.542622
766,5.2734575
767,18.90155
768,10.070311
769,6.4814706
770,18.242641
771,10.527172
772,14.144654
773,17.380547
774,6.383687
775,9.676121
776,13.498165
777,2.7005422
778,21.54605
779,4.8558865
780,10.523582
781,14.734048
782,22.20212
783,10.365861
784,9.679667
785,3.9885418
786,14.717405
787,8.189329
788,9.456505
789,10.543415
790,14.848878
791,15.067897
792,19.170195
793,19.80894
794,4.742078
795,10.497086
796,5.841524
797,17.473082
798,6.5724764
799,11.45512
800,4.696623
801,9.556464
802,13.123795
803,9.497727
804,5.5801063
805,9.295374
806,9.9571
807,11.963686
808,10.788895
809,8.838254
810,5.1941195
811,8.630534
812,9.190387
813,17.35386
814,19.76792
815,8.316277
816,7.70863
817,8.063366
818,9.772557
819,17.96899
820,19.338482
821,7.6399655
822,21.483423
823,13.149107
824,6.7271404
825,10.888721
826,9.79158
827,15.45414
828,12.381733
829,4.3561044
830,3.8122733
831,7.4866123
832,4.9611573
833,10.521819
834,12.575807
835,12.117809
836,16.095942
837,16.622162
838,11.243481
839,4.5456176
840,13.957745
841,12.441135
842,9.597065
843,16.068684
844,11.018757
845,11.684757
846,12.918364
847,12.759365
848,14.459957
849,3.9625535
850,24.639513
851,10.860296
852,11.0805645
853,15.443464
854,15.4853115
855,6.360752
856,3.4083543
857,28.438158
858,13.937874
859,6.5254126
860,11.614592
861,10.191161
862,8.956207
863,3.8447778
864,19.42207
865,5.207905
866,9.526675
867,16.286776
868,11.127437
869,10.679755
870,20.59092
871,4.439962
872,14.524616
873,7.8539324
874,15.587706
875,12.028625
876,16.607767
877,8.805796
878,4.762414
879,4.574459
880,10.43256
881,5.5903816
882,8.240594
883,11.948579
884,20.344213
885,4.248993
886,10.692595
887,12.912594
888,13.6683
889,17.050089
890,13.283463
891,13.49176
892,17.172884
893,15.829264
894,10.264606
895,20.346006
896,4.8916817
897,12.396381
898,22.321918
899,9.116072
900,12.460068
901,11.5568905
902,9.567579
903,14.370213
904,14.245474
905,4.659788
906,16.790922
907,17.181803
908,29.427542
909,9.029804
910,4.0933595
911,7.8384566
912,16.245983
913,14.662842
914,15.532121
915,4.889801
916,7.8225417
917,8.771017
918,7.148014
919,7.0040884
920,19.018381
921,16.507078
922,20.964785
923,7.3266826
924,16.168125
925,18.072077
926,9.922242
927,14.294732
928,3.977687
929,9.113734
930,27.196125
931,9.888176
932,14.4910345
933,12.42943
934,11.533069
935,8.540767
936,9.350753
937,15.031335
938,24.406242
939,18.405333
940,9.26535
941,12.151648
942,5.4163923
943,11.996529
944,18.453943
945,17.283957
946,4.1219196
947,12.113089
948,10.412302
949,17.371536
950,13.196294
951,4.2072196
952,11.656523
953,16.723127
954,6.9846344
955,6.3149333
956,14.449905
957,14.399384
958,4.8486314
959,5.2556725
960,5.2956457
961,11.863252
962,12.969238
963,11.445168
964,5.370297
965,10.829504
966,19.52047
967,4.699445
968,10.069109
969,10.879802
970,13.651274
971,13.17738
972,11.178137
973,10.805754
974,7.9105077
975,8.264888
976,16.877234
977,13.210304
978,11.874884
979,15.468638
980,15.31329
981,4.468204
982,11.793043
983,4.231425
984,12.101998
985,8.730392
986,11.520308
987,12.907131
988,6.1093655
989,11.554285
990,4.446188
991,8.3938465
992,11.579734
993,15.976212
994,4.5794067
995,8.877192
996,3.5253744
997,8.755989
998,11.562977
999,8.258101
1000,8.014505
1001,18.102642
1002,13.426493
1003,3.6067169
1004,4.510479
1005,9.166271
1006,5.8728113
1007,16.117603
1008,12.115973
1009,6.352848
1010,12.480255
1011,14.289786
1012,9.195298
1013,6.7986355
1014,4.4455247
1015,7.4376574
1016,9.155
1017,20.885015
1018,5.3862953
1019,12.170063
1020,5.3185263
1021,12.11382
1022,11.924667
1023,15.457924
1024,13.668913
1025,8.551566
1026,4.28267
1027,19.623503
1028,18.364382
1029,13.158375
1030,15.3679285
1031,10.840482
1032,5.881693
1033,5.6234093
1034,10.488476
1035,16.01937
1036,11.97871
1037,4.6868477
1038,7.7917185
1039,9.990599
1040,7.2357264
1041,16.38273
1042,9.13176
1043,17.124403
1044,13.036478
1045,8.456029
1046,11.799152
1047,5.1074963
1048,9.532587
1049,14.898262
1050,7.9385595
1051,12.857821
1052,20.105331
1053,10.317445
1054,13.699305
1055,8.986616
1056,9.534073
1057,13.547079
1058,5.239767
1059,6.1001534
1060,12.268501
1061,7.813841
1062,9.844249
1063,9.584264
1064,4.267739
1065,11.80995
1066,14.221736
1067,5.5944266
1068,8.410968
1069,19.093079
1070,9.607262
1071,9.139346
1072,10.964682
1073,5.784565
1074,9.3180065
1075,7.792619
1076,15.720037
1077,8.560046
1078,5.776498
1079,15.473686
1080,11.57277
1081,10.505697
1082,9.258286
1083,3.8717964
1084,23.36403
1085,12.697306
1086,4.448056
1087,16.77104
1088,7.394028
1089,11.154499
1090,15.572845
1091,4.2318335
1092,9.2440195
1093,4.162168
1094,10.433712
1095,3.9160872
1096,13.800341
1097,8.818075
1098,21.476416
1099,3.2740917
1100,13.335774
1101,10.992096
1102,18.678877
1103,10.48905
1104,9.729496
1105,7.946095
1106,5.5785513
1107,5.7925224
1108,16.023422
1109,11.994997
1110,8.010417
1111,4.9250603
1112,8.628698
1113,10.677462
1114,13.922535
1115,8.62836
1116,18.820997
1117,11.872776
1118,18.935833
1119,8.4946785
1120,10.24825
1121,13.743958
1122,20.457697
1123,8.390513
1124,5.573665
1125,11.1804495
1126,14.669868
1127,5.4358444
1128,6.4826517
1129,12.029018
1130,10.599609
1131,8.307952
1132,9.287092
1133,5.1967306
1134,16.450478
1135,18.087008
1136,9.144423
1137,11.776315
1138,12.421846
1139,4.898366
1140,10.499435
1141,10.791812
1142,12.731487
1143,3.1910434
1144,13.026277
1145,12.233746
1146,5.756688
1147,12.59511
1148,11.02174
1149,4.274929
1150,11.191915
1151,14.037244
1152,5.0266304
1153,5.468721
1154,20.002592
1155,13.598018
1156,20.677626
1157,13.808067
1158,5.9423323
1159,4.152502
1160,8.772558
1161,6.058566
1162,12.74345
1163,9.935805
1164,10.442741
1165,12.416331
1166,22.50566
1167,7.016598
1168,12.913353
1169,5.737057
1170,4.868419
1171,10.9802
1172,13.2090645
1173,15.801271
1174,12.577913
1175,9.89175
1176,5.7486525
1177,10.042109
1178,9.74275
1179,14.244465
1180,5.4217663
1181,6.3174353
1182,6.246294
1183,16.73731
1184,8.395024
1185,13.656237
1186,13.626525
1187,12.120203
1188,20.08431
1189,24.54217
1190,15.698515
1191,12.004196
1192,7.4771094
1193,4.5229063
1194,16.061626
1195,14.705605
1196,10.216909
1197,14.12213
1198,8.725621
1199,14.905045
1200,5.114018
1201,5.4818325
1202,5.3290434
1203,23.892496
1204,13.560011
1205,11.480822
1206,20.262424
1207,10.599739
1208,17.197119
1209,13.133066
1210,13.88861
1211,6.9461737
1212,10.059225
1213,13.126445
1214,6.778186
1215,9.548844
1216,20.70756
1217,10.0907955
1218,9.680631
1219,10.013443
1220,9.504766
1221,15.500706
1222,13.561891
1223,19.02515
1224,4.4520755
1225,4.8092318
1226,12.868648
1227,3.1915746
1228,16.61246
1229,13.272968
1230,13.075358
1231,13.197432
1232,18.598776
1233,3.8400095
1234,13.686742
1235,5.126924
1236,14.887763
1237,5.5510244
1238,8.528916
1239,11.017571
1240,15.117134
1241,10.75232
1242,12.956383
1243,6.8716717
1244,9.414539
1245,5.8055935
1246,13.960358
1247,13.536035
1248,10.450762
1249,8.434102
1250,11.09231
1251,7.741514
1252,9.26219
1253,8.267948
1254,12.2432575
1255,10.25746
1256,4.247124
1257,9.568119
1258,12.497734
1259,19.323383
1260,13.72961
1261,15.693437
1262,20.183636
1263,11.660578
1264,3.8032115
1265,18.865824
1266,18.198143
1267,13.178084
1268,4.757024
1269,5.6059895
1270,9.603662
1271,11.398224
1272,11.314198
1273,10.805871
1274,10.486053
1275,17.263897
1276,11.795694
1277,5.7682495
1278,12.525835
1279,10.595298
1280,4.8970556
1281,12.884031
1282,7.7329693
1283,17.23288
1284,7.115924
1285,9.901617
1286,17.648912
1287,15.024299
1288,12.599928
1289,4.283411
1290,9.718061
1291,10.753139
1292,13.817497
1293,4.111344
1294,14.036157
1295,9.277611
1296,17.91524
1297,14.309889
1298,12.505572
1299,13.484539
1300,21.517931
1301,14.748173
1302,8.5704565
1303,7.4225206
1304,11.986694
1305,8.88644
1306,10.280465
1307,7.456603
1308,13.043549
1309,10.710459
1310,12.492112
1311,10.5983925
1312,9.564913
1313,4.005429
1314,9.711838
1315,14.906922
1316,14.800813
1317,8.236862
1318,4.14765
1319,16.366705
1320,7.1128893
1321,5.5784826
1322,11.693427
1323,15.931701
1324,5.167093
1325,4.055263
1326,14.259026
1327,4.6722317
1328,15.023456
1329,12.328473
1330,5.4423122
1331,10.106407
1332,12.780718
1333,4.5342293
1334,11.842157
1335,21.32736
1336,4.5406523
1337,11.952002
1338,4.9179
1339,12.735424
1340,8.989196
1341,4.0694737
1342,14.639881
1343,4.32212
1344,9.739269
1345,3.280263
1346,8.68052
1347,10.1683655
1348,9.790987
1349,18.99377
1350,14.374147
1351,9.6697
1352,17.862463
1353,12.147093
1354,8.459256
1355,7.0720973
1356,7.635579
1357,18.393856
1358,4.5512633
1359,13.643119
1360,3.482443
1361,4.505971
1362,18.566896
1363,17.383202
1364,5.100337
1365,17.079283
1366,12.122349
1367,5.568138
1368,7.3359337
1369,6.2957773
1370,14.531979
1371,10.867345
1372,15.690714
1373,14.576886
1374,9.658117
1375,10.628418
1376,11.165184
1377,14.837571
1378,10.499533
1379,9.689125
1380,6.3372383
1381,12.054821
1382,16.460081
1383,12.304031
1384,5.6102657
1385,8.384134
1386,11.778856
1387,16.21472
1388,8.883385
1389,16.720633
1390,11.087706
1391,17.703516
1392,17.600807
1393,16.486841
1394,11.547097
1395,9.482327
1396,15.392601
1397,16.737246
1398,10.235712
1399,20.114794
1400,4.4946723
1401,4.877859
1402,10.197929
1403,12.626928
1404,16.952549
1405,14.975729
1406,19.309439
1407,11.916866
1408,12.2350235
1409,17.407625
1410,20.566069
1411,12.471954
1412,4.979896
1413,6.636178
1414,3.1480923
1415,10.765011
1416,14.785633
1417,20.064516
1418,3.6181896
1419,15.826658
1420,10.022666
1421,12.249094
1422,16.479177
1423,9.53149
1424,9.158059
1425,5.904802
1426,11.286865
1427,15.108552
1428,7.5564046
1429,12.115654
1430,11.8867445
1431,11.56385
1432,11.278897
1433,18.711264
1434,13.821102
1435,7.290163
1436,11.280022
1437,11.636219
1438,19.186777
1439,9.759331
1440,14.4017315
1441,14.770098
1442,4.448091
1443,10.174557
1444,11.498534
1445,16.785973
1446,3.9471476
1447,4.2170677
1448,18.617624
1449,10.794564
1450,17.922468
1451,10.996883
1452,3.7083118
1453,6.1000686
1454,12.033699
1455,6.986661
1456,10.826619
1457,12.581879
1458,19.423182
1459,5.8540154
1460,11.485868
1461,3.3426354
1462,5.169712
1463,15.140948
1464,21.842918
1465,11.66117
1466,10.231791
1467,11.8020935
1468,19.997843
1469,13.536091
1470,10.509483
1471,13.037489
1472,12.110144
1473,7.4426413
1474,5.2763767
1475,2.9673905
1476,15.9350395
1477,12.796687
1478,15.882392
1479,4.3648734
1480,15.007513
1481,5.0918837
1482,13.069838
1483,9.384224
1484,11.912729
1485,16.089949
1486,10.942897
1487,5.7838426
1488,10.70332
1489,2.8245475
1490,15.053142
1491,7.8547935
1492,14.151063
1493,11.195491
1494,5.4037924
1495,15.321336
1496,14.858427
1497,10.437145
1498,17.162714
1499,16.702555
1500,7.798886
1501,7.1362777
1502,14.617566
1503,5.668244
1504,17.292002
1505,12.954201
1506,11.284684
1507,13.9323635
1508,9.842959
1509,8.989372
1510,4.8056936
1511,23.885086
1512,20.121893
1513,8.282473
1514,5.6425767
1515,13.533606
1516,11.097582
1517,15.585254
1518,8.816099
1519,5.526963
1520,11.39076
1521,10.5314865
1522,14.480207
1523,8.07958
1524,9.853908
1525,8.578194
1526,20.901182
1527,11.947496
1528,17.10886
1529,13.790525
1530,11.332397
1531,14.95745
1532,3.7111726
1533,12.647659
1534,9.736595
1535,8.257481
1536,12.944521
1537,13.324292
1538,11.96925
1539,5.8845005
1540,4.6729198
1541,14.675276
1542,10.698242
1543,12.304937
1544,13.187675
1545,13.14104
1546,22.825294
1547,9.492978
1548,15.058059
1549,15.547745
1550,11.270971
1551,10.57962
1552,4.6398096
1553,7.3055296
1554,10.14385
1555,5.5055923
1556,15.93297
1557,14.599152
1558,14.436663
1559,4.5675592
1560,5.019479
1561,11.286444
1562,6.0702543
1563,20.191393
1564,11.25001
1565,7.922827
1566,14.1319065
1567,13.166954
1568,17.576262
1569,10.528902
1570,12.347858
1571,19.779291
1572,12.684795
1573,9.792664
1574,16.182634
1575,24.288794
1576,13.698437
1577,4.6979713
1578,6.3183117
1579,22.175772
1580,9.803122
1581,16.79289
1582,10.794479
1583,16.83882
1584,11.264865
1585,4.048261
1586,17.454086
1587,11.223927
1588,10.875171
1589,11.074042
1590,4.840742
1591,8.873938
1592,5.118787
1593,12.577353
1594,10.020999
1595,14.809159
1596,4.8824224
1597,13.056265
1598,6.108777
1599,15.40698
1600,9.7322035
1601,10.760698
1602,17.662855
1603,16.584711
1604,6.586383
1605,8.6552105
1606,10.728823
1607,10.628805
1608,10.684401
1609,7.693728
1610,12.915354
1611,14.17759
1612,4.8654995
1613,19.235308
1614,15.447441
1615,15.48947
1616,7.799164
1617,5.6949816
1618,10.375845
1619,4.6506767
1620,17.044773
1621,12.568031
1622,10.534601
1623,13.654068
1624,13.976472
1625,13.14578
1626,9.753315
1627,5.84698
1628,17.215834
1629,23.734732
1630,9.899346
1631,8.465403
1632,11.425512
1633,11.521466
1634,8.207138
1635,14.317369
1636,11.978312
1637,3.6376202
1638,12.813725
1639,7.970105
1640,13.818195
1641,13.727741
1642,7.504174
1643,18.260336
1644,18.409208
1645,3.432234
1646,5.171922
1647,6.836545
1648,13.912218
1649,9.754194
1650,5.6309023
1651,9.410913
1652,20.616945
1653,10.075695
1654,24.52812
1655,6.1715035
1656,12.117823
1657,7.9774003
1658,6.9532604
1659,7.4593706
1660,14.111784
1661,6.212138
1662,11.05344
1663,16.448883
1664,8.291714
1665,8.88209
1666,19.371382
1667,11.498364
1668,5.693105
1669,7.8036723
1670,6.5876637
1671,12.50678
1672,12.027639
1673,18.408842
1674,6.003346
1675,15.307068
1676,14.370289
1677,3.8317993
1678,4.155905
1679,12.970732
1680,18.580118
1681,20.554796
1682,9.403841
1683,17.253578
1684,4.88184
1685,4.4461417
1686,18.653776
1687,12.113645
1688,14.339625
1689,8.850522
1690,5.2137604
1691,11.641964
1692,10.920409
1693,12.252909
1694,8.70623
1695,9.662134
1696,4.304732
1697,10.5216875
1698,8.950385
1699,16.18619
1700,11.442365
1701,10.670843
1702,6.001064
1703,10.661965
1704,15.430879
1705,11.049165
1706,16.342493
1707,8.677731
1708,16.337494
1709,5.054232
1710,14.771822
1711,18.868599
1712,10.16253
1713,12.844579
1714,9.6453
1715,8.941431
1716,11.240919
1717,11.334854
1718,9.679651
1719,15.998154
1720,11.571119
1721,7.319372
1722,5.8013945
1723,4.3791375
1724,4.6790295
1725,16.47489
1726,18.182413
1727,10.798215
1728,10.200497
1729,7.184602
1730,7.8934045
1731,13.343258
1732,10.670701
1733,9.603762
1734,4.829722
1735,10.430906
1736,17.077538
1737,10.727502
1738,17.413694
1739,11.053135
1740,14.558133
1741,12.718179
1742,4.738992
1743,7.3398666
1744,13.612456
1745,2.8009522
1746,3.0062158
1747,11.487593
1748,10.467314
1749,11.484089
1750,12.943478
1751,5.410104
1752,7.0440574
1753,21.973204
1754,9.15008
1755,17.371576
1756,16.10008
1757,3.690631
1758,5.1048
1759,10.434975
1760,21.065928
1761,4.605583
1762,12.072054
1763,4.438747
1764,11.070309
1765,14.923852
1766,6.683183
1767,7.2500935
1768,11.976609
1769,15.286682
1770,15.987896
1771,11.121608
1772,9.856007
1773,7.8472347
1774,12.579817
1775,17.671783
1776,7.025143
1777,4.950569
1778,11.576449
1779,9.248112
1780,19.043184
1781,12.150449
1782,9.670892
1783,11.779545
1784,14.601431
1785,5.3099556
1786,11.047482
1787,9.438189
1788,19.493538
1789,6.441107
1790,6.178694
1791,3.870724
1792,13.622244
1793,10.403521
1794,11.525998
1795,17.624262
1796,12.124384
1797,16.963017
1798,9.642759
1799,12.492223
1800,11.37012
1801,5.019225
1802,8.934214
1803,7.0799856
1804,6.2679596
1805,10.362722
1806,12.921153
1807,9.790377
1808,15.286118
1809,10.994036
1810,9.355755
1811,8.089232
1812,4.5453625
1813,12.072687
1814,15.23328
1815,21.831171
1816,14.197329
1817,6.0293922
1818,10.91736
1819,13.201853
1820,10.629337
1821,19.017836
1822,17.729542
1823,10.251768
1824,11.199768
1825,8.5065
1826,10.2867365
1827,9.19009
1828,7.3004622
1829,2.846414
