,best_NN_score_alpha1_tr
174,12.973207
175,13.782167
176,13.751089
177,4.371799
178,3.6850617
179,2.8030772
180,10.946196
181,12.717323
182,10.295603
183,8.331861
184,4.018869
185,4.843732
186,5.963172
187,12.434389
188,15.7098465
189,5.101068
190,11.333565
191,9.98483
192,9.895475
193,3.2833126
194,4.5431223
195,13.172918
196,8.457925
197,4.0133753
198,3.659296
199,13.886597
200,10.653672
201,16.218004
202,3.5766518
203,4.571002
204,5.930374
205,2.2674153
206,6.6619024
207,10.428247
208,13.770765
209,12.4883585
210,4.944092
211,14.811274
212,8.989023
213,11.879146
214,19.70484
215,11.564827
216,13.0829935
217,3.1093209
218,4.607153
219,10.668475
220,3.78988
221,5.2188883
222,3.0516376
223,9.03054
224,8.687694
225,11.36116
226,12.392389
227,13.365631
228,12.838352
229,12.72871
230,7.1027126
231,9.198767
232,6.9805126
233,10.838776
234,4.7455635
235,2.9283557
236,12.017011
237,11.222265
238,16.575716
239,16.003849
240,16.368448
241,9.231079
242,8.6550455
243,8.401353
244,9.330698
245,15.336401
246,10.177305
247,4.8499727
248,10.692058
249,15.294488
250,10.066609
251,4.363194
252,7.285841
253,9.225924
254,4.712247
255,9.585391
256,9.9996805
257,10.011695
258,9.423656
259,13.94205
260,11.860802
261,4.0595765
262,10.823614
263,10.301521
264,10.010265
265,4.557371
266,8.787978
267,9.918797
268,8.301622
269,4.6035595
270,10.127779
271,7.2510767
272,10.402891
273,13.957653
274,10.502075
275,5.190472
276,24.966043
277,3.7762237
278,13.379654
279,11.713577
280,10.038443
281,8.373995
282,14.845028
283,12.263449
284,8.648781
285,6.3450804
286,10.072747
287,11.318508
288,8.992928
289,12.040504
290,10.06282
291,17.139523
292,11.0518875
293,11.376574
294,4.115551
295,9.561804
296,9.700988
297,10.745372
298,15.742905
299,10.729679
300,11.508055
301,9.306173
302,9.144397
303,8.265351
304,10.92873
305,10.478705
306,12.369112
307,9.895743
308,4.466696
309,10.314325
310,11.153055
311,11.3302355
312,15.031564
313,16.465528
314,17.51169
315,8.421743
316,11.223917
317,8.567993
318,13.161377
319,15.48769
320,9.704655
321,10.70804
322,13.792139
323,10.001124
324,8.211122
325,10.136433
326,14.749357
327,9.56213
328,14.277762
329,13.646963
330,10.873396
331,12.403301
332,10.279427
333,12.55946
334,10.535889
335,5.3387175
336,9.7889385
337,19.554617
338,14.660273
339,5.429924
340,12.477665
341,11.166256
342,4.895831
343,13.548781
344,5.517934
345,11.272883
346,11.015476
347,12.629552
348,12.140146
349,10.982318
350,11.655063
351,9.75613
352,10.235386
353,10.854131
354,14.9813595
355,6.4379587
356,8.381308
357,4.2941146
358,8.588398
359,12.152525
360,9.344783
361,10.983912
362,8.341794
363,8.203239
364,7.868871
365,12.044342
366,12.076111
367,5.907362
368,10.500657
369,4.8472776
370,14.563318
371,10.996449
372,7.736724
373,14.631725
374,7.8006196
375,7.6976166
376,13.996745
377,14.237086
378,5.5989313
379,15.558719
380,5.0382767
381,10.359003
382,4.48206
383,17.367683
384,9.121649
385,12.479797
386,17.018238
387,6.5221252
388,5.24942
389,11.532373
390,7.8444524
391,13.551399
392,12.579037
393,11.2726965
394,9.135101
395,13.03702
396,12.250125
397,16.098875
398,11.1951065
399,11.891687
400,11.221609
401,9.683346
402,13.369329
403,9.673067
404,4.611553
405,10.012389
406,4.451596
407,10.744425
408,8.917463
409,7.5565434
410,9.537727
411,9.992971
412,6.6921735
413,16.331215
414,5.135925
415,10.737917
416,11.077818
417,8.960883
418,14.615583
419,16.439344
420,10.7556305
421,11.599346
422,3.380076
423,13.367672
424,11.434216
425,11.941877
426,12.019474
427,10.710692
428,8.419158
429,13.550194
430,9.000774
431,9.093343
432,4.9956765
433,8.02005
434,6.7550907
435,6.470449
436,8.5590315
437,11.761141
438,13.550054
439,5.175349
440,17.079983
441,8.829431
442,12.841829
443,11.760897
444,14.077705
445,4.4127693
446,13.301163
447,3.685654
448,12.84759
449,7.3014154
450,6.8690305
451,10.146845
452,8.496172
453,9.249531
454,10.228958
455,5.5943174
456,12.29039
457,17.115658
458,4.364059
459,4.9487286
460,13.2400875
461,11.802288
462,9.492183
463,4.621542
464,10.299286
465,7.9608364
466,6.981358
467,10.167279
468,12.673657
469,8.818026
470,5.741166
471,15.628095
472,11.565149
473,8.038369
474,9.20244
475,9.441388
476,14.684015
477,4.2075715
478,6.1812096
479,12.667975
480,10.040539
481,12.183668
482,4.1336484
483,10.019154
484,8.996998
485,7.9383326
486,9.006644
487,13.337841
488,8.916117
489,12.578747
490,4.9155827
491,13.450444
492,11.155702
493,6.5532284
494,6.29
495,4.6320095
496,7.3551435
497,18.4532
498,4.6185503
499,7.704873
500,11.78042
501,4.1783037
502,8.234767
503,3.7054436
504,5.6954875
505,16.880577
506,4.0465555
507,11.020838
508,18.178232
509,14.447494
510,12.511867
511,3.6154625
512,12.912917
513,5.5601435
514,5.088382
515,4.362959
516,7.5697503
517,12.748087
518,3.525699
519,10.1523905
520,7.0808277
521,9.824745
522,10.190958
523,7.239603
524,6.9474993
525,11.591474
526,15.729701
527,10.732112
528,5.024633
529,4.5906777
530,13.763459
531,14.921846
532,9.185543
533,4.4747477
534,9.71422
535,10.0662365
536,12.363258
537,13.046244
538,8.287802
539,8.354863
540,12.922941
541,9.093809
542,5.7174177
543,9.10993
544,14.797646
545,5.4791117
546,3.6433952
547,3.9201407
548,13.930237
549,10.171546
550,8.6450405
551,16.810936
552,15.044285
553,14.676928
554,5.1486835
555,4.758956
556,7.156006
557,18.375967
558,11.306702
559,11.066527
560,3.6305196
561,3.8766456
562,7.6338162
563,10.709076
564,4.5991926
565,7.59595
566,8.472086
567,10.112679
568,14.5469675
569,15.752588
570,12.620405
571,7.642977
572,14.037052
573,12.664716
574,16.081696
575,5.7774286
576,10.712575
577,5.7872815
578,13.28174
579,17.347124
580,6.9515615
581,9.393856
582,12.358281
583,11.892429
584,11.849373
585,15.744011
586,8.72733
587,4.7297993
588,4.072433
589,6.6873875
590,12.305867
591,4.0451303
592,8.254717
593,10.248928
594,10.827813
595,9.400951
596,10.709784
597,17.438173
598,18.667028
599,13.085953
600,16.91868
601,3.4716306
602,17.010965
603,16.394632
604,9.358944
605,25.688257
606,8.66152
607,4.5336876
608,5.041374
609,7.4215984
610,14.72506
611,10.637388
612,5.333311
613,7.3505464
614,5.4611177
615,4.7857003
616,14.296291
617,7.8287673
618,13.658201
619,10.316521
620,4.861436
621,7.9855423
622,12.830086
623,12.8404455
624,8.125502
625,14.365204
626,15.984687
627,5.2395334
628,16.837402
629,8.240318
630,10.289022
631,10.578881
632,9.3409605
633,5.721133
634,7.3900237
635,10.136969
636,12.930658
637,8.322908
638,12.627659
639,11.684881
640,21.356607
641,6.7045293
642,5.3843985
643,10.759547
644,7.840518
645,11.811907
646,6.8777533
647,16.405025
648,10.526665
649,11.730612
650,9.583126
651,16.538074
652,16.539406
653,8.472057
654,13.46939
655,12.886982
656,12.134215
657,15.750097
658,9.814119
659,8.432696
660,10.356054
661,15.59128
662,12.083296
663,10.972198
664,9.735035
665,5.051717
666,10.812755
667,13.006821
668,4.7351255
669,11.890377
670,11.474846
671,16.363825
672,9.97296
673,6.413178
674,15.464569
675,3.977408
676,8.995583
677,10.432558
678,6.800927
679,9.246726
680,15.33986
681,12.8993435
682,7.322611
683,6.685857
684,7.9303946
685,15.729703
686,10.344183
687,9.577623
688,14.288498
689,14.060836
690,13.80504
691,8.994785
692,8.95076
693,7.3570123
694,14.081809
695,9.719309
696,2.603347
697,7.5506053
698,12.968887
699,24.041454
700,14.987038
701,12.163015
702,11.670363
703,3.9585474
704,4.611489
705,9.6856
706,8.493472
707,9.600305
708,6.5461845
709,7.1222157
710,8.584762
711,8.779794
712,6.5961866
713,10.299341
714,8.933901
715,14.76149
716,8.582227
717,11.159677
718,12.400246
719,10.437787
720,5.38675
721,6.479869
722,7.1837807
723,12.737396
724,9.581852
725,8.950067
726,6.7837486
727,13.064842
728,11.030464
729,8.128442
730,3.4372408
731,7.7993937
732,9.284061
733,3.278687
734,16.555086
735,14.858368
736,12.683666
737,9.560467
738,5.475167
739,9.495583
740,7.092669
741,13.989091
742,10.811731
743,18.009872
744,6.9608555
745,6.3273716
746,5.9929123
747,15.215635
748,8.888338
749,4.797726
750,14.398514
751,7.3025594
752,8.246818
753,12.991242
754,17.536985
755,7.3995867
756,5.078373
757,4.106391
758,12.747763
759,13.899204
760,13.177053
761,7.932247
762,25.026274
763,5.8714986
764,7.450882
765,9.371711
766,4.6848254
767,15.946922
768,9.473665
769,6.1516895
770,16.89513
771,9.526526
772,13.193385
773,14.840301
774,5.6297593
775,9.091978
776,11.22658
777,2.6504595
778,20.198774
779,4.3747373
780,9.434397
781,13.14809
782,18.81404
783,8.942268
784,8.145249
785,3.8000877
786,14.151891
787,7.611027
788,8.465526
789,9.93644
790,12.609425
791,13.299326
792,15.817499
793,16.402855
794,4.6238775
795,9.243078
796,4.89007
797,14.78922
798,5.914806
799,9.726394
800,4.4134054
801,8.4602
802,11.72402
803,9.041336
804,5.145343
805,8.231016
806,9.691062
807,10.910799
808,9.947065
809,8.184804
810,5.01121
811,8.259024
812,6.762518
813,15.595205
814,16.536926
815,7.9582953
816,7.5718184
817,6.9358525
818,8.848974
819,15.414875
820,16.341284
821,7.818572
822,19.457108
823,11.609453
824,5.926553
825,9.593643
826,8.750895
827,13.519025
828,11.160345
829,4.0460043
830,3.578729
831,6.416029
832,4.5002503
833,9.480843
834,10.896232
835,11.491337
836,13.77542
837,15.157606
838,9.934597
839,4.0675774
840,13.344871
841,11.852623
842,8.712534
843,14.128395
844,10.052633
845,10.280593
846,12.479074
847,11.619888
848,12.975502
849,3.4835842
850,22.929438
851,9.899522
852,9.826407
853,13.214457
854,12.753235
855,5.5445933
856,3.4950426
857,27.110243
858,12.279072
859,4.644703
860,10.140622
861,9.40222
862,8.355493
863,3.7443855
864,16.81769
865,4.821307
866,8.673273
867,13.841378
868,10.395957
869,9.228534
870,17.64086
871,4.17762
872,13.018617
873,6.929991
874,13.69551
875,10.462124
876,13.156908
877,8.735309
878,4.5732617
879,4.1429186
880,9.757849
881,5.022146
882,7.5149727
883,10.753271
884,17.731358
885,3.9588697
886,9.431713
887,11.823034
888,12.059029
889,14.745226
890,12.177326
891,13.01324
892,14.6036005
893,13.390057
894,8.822951
895,17.302834
896,4.517357
897,10.87963
898,17.775805
899,7.882985
900,11.469181
901,10.093636
902,8.490377
903,13.443593
904,12.854044
905,4.394638
906,14.299357
907,16.445362
908,24.19912
909,8.376016
910,3.9080431
911,6.8951373
912,14.223812
913,13.013565
914,13.318129
915,4.382821
916,7.1688914
917,7.3974314
918,6.0969405
919,6.3081007
920,16.652391
921,14.883759
922,18.897982
923,6.511751
924,14.023158
925,15.047109
926,9.232393
927,12.735357
928,3.6847775
929,8.221127
930,23.383463
931,8.935297
932,12.808592
933,11.243018
934,10.395703
935,8.111399
936,8.331269
937,12.058817
938,20.167585
939,15.9623165
940,8.127469
941,10.855436
942,4.7787304
943,10.722193
944,16.349907
945,14.570585
946,3.904785
947,11.233007
948,9.008451
949,14.964233
950,11.846139
951,3.8166285
952,10.86026
953,14.198348
954,6.401737
955,5.6762347
956,12.125238
957,12.92358
958,4.4847217
959,4.7263603
960,4.7210917
961,10.441559
962,11.629545
963,9.913219
964,5.059978
965,10.095118
966,16.176905
967,4.3396616
968,9.372749
969,10.0858555
970,12.556347
971,11.550484
972,9.834975
973,9.640045
974,6.9499545
975,6.6495476
976,13.174173
977,11.475645
978,9.505426
979,13.55275
980,13.75194
981,4.3335905
982,10.751549
983,3.9225886
984,10.253407
985,7.6634703
986,10.282143
987,11.343943
988,5.6776447
989,9.8787155
990,4.222954
991,7.3104534
992,9.921188
993,14.10857
994,4.1733055
995,8.709113
996,3.19918
997,8.292851
998,10.894148
999,6.9346313
1000,7.41838
1001,15.281366
1002,10.921532
1003,3.3980634
1004,4.319172
1005,8.591995
1006,5.500025
1007,14.17122
1008,11.074819
1009,5.1514325
1010,10.749624
1011,12.400598
1012,8.602068
1013,6.2590733
1014,4.1564174
1015,6.899133
1016,8.054281
1017,18.168821
1018,4.8207145
1019,10.943509
1020,4.636715
1021,10.704647
1022,10.771486
1023,13.779312
1024,11.107904
1025,7.842496
1026,3.9767168
1027,16.85774
1028,15.072433
1029,11.398
1030,13.5853405
1031,9.723673
1032,5.108257
1033,5.58685
1034,9.594954
1035,13.9121
1036,10.691023
1037,4.3957014
1038,6.9259796
1039,9.080114
1040,6.1131277
1041,14.8878565
1042,8.453621
1043,14.649681
1044,11.832734
1045,7.9833236
1046,9.922668
1047,4.4373064
1048,8.892832
1049,13.592702
1050,7.547174
1051,10.714301
1052,16.53771
1053,9.579387
1054,11.881056
1055,8.454854
1056,8.321869
1057,12.084774
1058,4.792967
1059,5.4725246
1060,10.654726
1061,7.2137337
1062,8.758847
1063,8.538376
1064,4.1300225
1065,10.004762
1066,12.465116
1067,4.9510803
1068,7.817445
1069,15.850226
1070,8.735313
1071,8.401776
1072,10.154345
1073,5.224228
1074,8.521862
1075,7.385596
1076,13.747507
1077,7.7458725
1078,5.1944675
1079,13.242304
1080,10.313726
1081,9.933042
1082,8.46089
1083,3.641902
1084,20.137749
1085,10.47995
1086,3.994693
1087,14.09147
1088,6.4010234
1089,9.843982
1090,14.228096
1091,3.6397402
1092,8.858981
1093,3.797353
1094,9.445491
1095,3.8357391
1096,12.656646
1097,8.044252
1098,19.89247
1099,3.110582
1100,12.193493
1101,9.94322
1102,17.198399
1103,9.469625
1104,8.938282
1105,6.98509
1106,5.3195786
1107,5.136757
1108,12.435999
1109,10.737022
1110,6.733525
1111,4.4044127
1112,7.802561
1113,9.073573
1114,12.463653
1115,7.5812335
1116,15.943372
1117,10.873713
1118,16.386522
1119,7.869294
1120,8.98827
1121,11.661127
1122,17.98934
1123,7.4252234
1124,5.273729
1125,9.587474
1126,12.956087
1127,5.0186
1128,5.643572
1129,10.887626
1130,9.685431
1131,7.267005
1132,8.328074
1133,4.644424
1134,14.889115
1135,14.475144
1136,8.722224
1137,10.717867
1138,11.4532585
1139,4.4302526
1140,9.140512
1141,10.025696
1142,11.9574585
1143,2.9647765
1144,12.083576
1145,10.688143
1146,5.729224
1147,10.8518095
1148,9.834466
1149,4.036955
1150,10.14098
1151,12.230261
1152,4.5398903
1153,5.150545
1154,17.271694
1155,11.196901
1156,18.081448
1157,12.136421
1158,5.5228148
1159,3.838444
1160,7.8333936
1161,5.348827
1162,11.5742
1163,8.681699
1164,9.412132
1165,11.206617
1166,20.647722
1167,6.3180857
1168,11.595386
1169,5.221649
1170,4.503446
1171,9.615104
1172,11.396379
1173,13.812524
1174,11.129884
1175,9.1254635
1176,5.3017883
1177,9.733344
1178,8.99401
1179,12.438979
1180,5.15806
1181,5.339864
1182,5.6853914
1183,14.709007
1184,7.5208454
1185,12.807861
1186,11.743805
1187,11.137533
1188,18.600655
1189,23.212719
1190,13.904713
1191,10.906875
1192,6.0440874
1193,4.1978545
1194,14.910403
1195,12.997335
1196,8.829665
1197,12.416043
1198,8.153214
1199,13.273104
1200,4.695889
1201,5.190651
1202,4.7970567
1203,21.589907
1204,12.43114
1205,10.103361
1206,16.861776
1207,9.732534
1208,14.549705
1209,11.714962
1210,12.813764
1211,6.053881
1212,8.927046
1213,12.554228
1214,6.2475867
1215,8.829138
1216,18.033766
1217,9.510726
1218,8.92108
1219,9.041285
1220,8.39511
1221,13.826267
1222,11.854518
1223,16.092258
1224,4.0782065
1225,4.4033666
1226,11.793445
1227,2.9689214
1228,14.71229
1229,11.62731
1230,11.640681
1231,11.906064
1232,15.844244
1233,3.631469
1234,10.905985
1235,4.962325
1236,13.026221
1237,5.3807774
1238,7.7495246
1239,9.372438
1240,13.709783
1241,9.74259
1242,11.66881
1243,6.035919
1244,8.063691
1245,5.2240844
1246,12.348173
1247,12.297977
1248,9.684729
1249,7.4533114
1250,10.42941
1251,7.0126295
1252,8.347949
1253,7.0661373
1254,11.256552
1255,8.91204
1256,3.9249609
1257,8.866452
1258,11.491924
1259,14.630446
1260,11.790161
1261,14.387144
1262,16.318407
1263,9.803818
1264,3.254021
1265,16.69866
1266,15.374889
1267,11.10629
1268,4.5869517
1269,4.859032
1270,8.342368
1271,9.750277
1272,10.258161
1273,7.8038826
1274,9.288352
1275,15.07295
1276,10.258115
1277,6.2443686
1278,11.566091
1279,9.865221
1280,4.352571
1281,11.363472
1282,6.8055105
1283,14.795909
1284,6.4365435
1285,8.440806
1286,14.972878
1287,13.3430805
1288,11.137422
1289,3.700791
1290,8.524283
1291,9.222621
1292,12.528998
1293,3.7655876
1294,12.727679
1295,8.823063
1296,15.354594
1297,12.119907
1298,11.143084
1299,12.371377
1300,18.722328
1301,13.06689
1302,8.337198
1303,6.5763454
1304,11.445087
1305,8.060282
1306,9.4996395
1307,7.128008
1308,11.591753
1309,9.871189
1310,11.077614
1311,9.519582
1312,9.08323
1313,4.0059533
1314,8.763079
1315,12.663169
1316,13.1289215
1317,7.56763
1318,4.006404
1319,15.071003
1320,6.992281
1321,4.5904512
1322,10.550552
1323,13.132483
1324,5.0543556
1325,4.098865
1326,11.938119
1327,4.4095907
1328,13.093223
1329,10.704526
1330,5.182182
1331,8.679743
1332,11.618351
1333,4.118394
1334,10.852794
1335,18.000704
1336,4.2378783
1337,10.661883
1338,4.677329
1339,11.637874
1340,8.284711
1341,3.8758938
1342,13.430162
1343,4.1710835
1344,9.139973
1345,3.169236
1346,7.665589
1347,10.092301
1348,8.762066
1349,16.2436
1350,12.692585
1351,8.737875
1352,14.869163
1353,10.628931
1354,7.6263623
1355,6.546788
1356,7.07783
1357,15.915178
1358,4.015421
1359,12.484546
1360,3.1988509
1361,4.1484075
1362,15.9521
1363,13.9930935
1364,4.979423
1365,14.924259
1366,10.895566
1367,5.2513194
1368,6.329962
1369,5.895638
1370,12.803532
1371,10.01552
1372,13.995402
1373,11.564771
1374,9.024746
1375,9.642605
1376,10.062728
1377,12.82542
1378,9.608862
1379,8.737698
1380,5.4237313
1381,10.949642
1382,13.834418
1383,12.088522
1384,5.1533127
1385,7.936283
1386,12.190773
1387,14.137819
1388,8.011652
1389,14.345965
1390,9.947122
1391,16.238897
1392,14.669537
1393,14.795305
1394,10.985647
1395,9.0761795
1396,13.658577
1397,14.24066
1398,8.945365
1399,17.182335
1400,4.010588
1401,4.2831974
1402,8.769227
1403,11.686731
1404,14.101843
1405,12.681113
1406,16.168669
1407,10.622671
1408,11.088826
1409,15.211857
1410,16.491787
1411,10.77878
1412,4.6437807
1413,5.6236587
1414,2.980609
1415,9.690199
1416,13.220963
1417,19.148815
1418,3.286533
1419,13.645701
1420,9.359217
1421,10.603331
1422,14.056484
1423,8.736487
1424,8.3120985
1425,5.277009
1426,10.019503
1427,12.73671
1428,6.7658997
1429,10.918034
1430,9.928848
1431,10.202405
1432,9.761192
1433,16.458704
1434,11.472382
1435,6.858082
1436,9.755756
1437,10.432976
1438,16.718887
1439,8.580168
1440,12.45099
1441,13.204952
1442,4.1086936
1443,8.608582
1444,10.199215
1445,14.258598
1446,3.7279716
1447,3.988897
1448,15.686523
1449,9.386782
1450,15.587574
1451,9.55602
1452,3.5958776
1453,5.3084326
1454,10.15433
1455,6.781042
1456,9.845968
1457,11.174661
1458,16.469616
1459,5.352189
1460,9.823393
1461,2.992316
1462,4.703088
1463,12.919749
1464,18.047089
1465,10.368852
1466,9.32411
1467,10.480263
1468,17.429157
1469,11.307964
1470,9.189089
1471,11.526377
1472,10.980171
1473,6.6577516
1474,4.95938
1475,2.8187811
1476,14.624853
1477,10.804315
1478,13.796406
1479,4.0639915
1480,12.417522
1481,4.5914345
1482,11.860697
1483,8.826908
1484,10.884994
1485,14.545731
1486,9.832484
1487,5.1171894
1488,9.162579
1489,2.7101367
1490,12.592432
1491,7.870199
1492,12.279341
1493,9.89132
1494,5.215702
1495,14.061424
1496,13.290489
1497,9.529493
1498,14.9974575
1499,14.104488
1500,6.897453
1501,6.356682
1502,12.604388
1503,5.264943
1504,14.886868
1505,12.288141
1506,10.325422
1507,12.39664
1508,9.003366
1509,8.450131
1510,4.4055276
1511,17.94421
1512,18.237577
1513,7.622047
1514,5.724836
1515,11.478509
1516,9.77308
1517,13.82094
1518,7.9563904
1519,5.033766
1520,10.178667
1521,9.463646
1522,12.313414
1523,7.3584666
1524,8.379605
1525,7.8397293
1526,17.19901
1527,10.838503
1528,14.202529
1529,12.588734
1530,10.127783
1531,11.928011
1532,3.5069218
1533,11.4094925
1534,8.57554
1535,7.5223646
1536,11.507936
1537,12.031775
1538,10.13387
1539,5.37894
1540,4.212923
1541,12.994171
1542,9.650169
1543,11.161512
1544,11.643426
1545,12.327854
1546,20.501562
1547,8.570715
1548,12.597918
1549,13.234578
1550,10.276356
1551,9.328912
1552,4.2611384
1553,6.7761264
1554,9.237563
1555,4.7351894
1556,13.681741
1557,12.999672
1558,12.35168
1559,4.482353
1560,4.7057476
1561,10.507994
1562,5.3547907
1563,16.624472
1564,10.182938
1565,7.33079
1566,12.574583
1567,11.663325
1568,14.325535
1569,10.013144
1570,11.326159
1571,17.220228
1572,11.296003
1573,8.692561
1574,14.274115
1575,20.903822
1576,11.958385
1577,4.233854
1578,6.416617
1579,17.27815
1580,8.933744
1581,15.234577
1582,9.672531
1583,14.341721
1584,10.319717
1585,4.0869646
1586,15.153231
1587,10.259658
1588,9.625549
1589,9.937941
1590,4.2590322
1591,7.7014694
1592,5.0323195
1593,10.692946
1594,8.886911
1595,12.6931095
1596,4.413154
1597,11.113355
1598,5.4724746
1599,13.677623
1600,8.682019
1601,9.414209
1602,15.724657
1603,14.224035
1604,6.399438
1605,7.9475794
1606,9.783223
1607,9.561403
1608,9.353705
1609,7.305956
1610,11.718552
1611,12.497683
1612,4.3669086
1613,16.747406
1614,13.508039
1615,13.421579
1616,7.0697894
1617,5.2495847
1618,9.330918
1619,4.3301873
1620,15.145492
1621,11.385621
1622,10.215648
1623,12.595621
1624,12.444082
1625,10.046354
1626,8.349651
1627,4.306578
1628,14.580852
1629,19.90861
1630,9.477826
1631,7.9696646
1632,10.120257
1633,10.253806
1634,7.8550615
1635,12.583502
1636,10.705178
1637,3.2601857
1638,10.697837
1639,6.7489853
1640,12.416329
1641,13.093271
1642,6.955183
1643,15.889833
1644,15.686501
1645,3.2275798
1646,4.7169347
1647,6.008273
1648,11.501674
1649,8.851276
1650,4.9867315
1651,8.747093
1652,17.416681
1653,9.419151
1654,22.168507
1655,5.007115
1656,10.05766
1657,7.2634525
1658,6.4073777
1659,6.8370814
1660,12.919003
1661,5.7718735
1662,9.488171
1663,14.892074
1664,7.649461
1665,7.456737
1666,16.369904
1667,10.269849
1668,5.11858
1669,7.1318693
1670,6.1982694
1671,11.480423
1672,11.0726
1673,15.583107
1674,5.4046607
1675,13.189283
1676,13.044817
1677,3.647169
1678,3.9041183
1679,11.626558
1680,16.285769
1681,17.843958
1682,8.056267
1683,15.169208
1684,4.6033688
1685,4.19902
1686,16.014147
1687,10.590187
1688,12.253868
1689,7.724848
1690,4.7707443
1691,10.855938
1692,9.368311
1693,11.241704
1694,7.3635817
1695,8.45528
1696,3.99041
1697,9.1891
1698,8.040732
1699,13.406731
1700,10.632385
1701,9.890902
1702,5.4135685
1703,9.794826
1704,13.904217
1705,9.967327
1706,13.895778
1707,8.180173
1708,13.743515
1709,4.5279126
1710,12.092899
1711,16.159039
1712,9.183603
1713,11.153093
1714,8.353445
1715,8.252731
1716,9.978144
1717,9.95584
1718,8.911362
1719,14.153147
1720,10.331172
1721,6.7681575
1722,4.7578073
1723,4.249316
1724,4.208751
1725,13.942636
1726,14.360295
1727,9.778163
1728,8.902111
1729,6.5151086
1730,7.175439
1731,12.354252
1732,9.458527
1733,9.186346
1734,4.3097115
1735,8.612269
1736,14.442264
1737,9.880156
1738,14.891396
1739,9.760252
1740,13.371404
1741,11.454855
1742,4.4793625
1743,6.786699
1744,10.469271
1745,2.8030174
1746,3.1833918
1747,10.474094
1748,9.147724
1749,9.777075
1750,11.686052
1751,4.99224
1752,6.0821958
1753,19.348032
1754,8.096423
1755,15.121454
1756,14.711462
1757,4.0141034
1758,4.478836
1759,9.229288
1760,17.984224
1761,4.3779
1762,10.671539
1763,4.0470567
1764,9.180435
1765,11.989389
1766,6.291868
1767,6.763752
1768,10.237251
1769,13.514582
1770,13.980942
1771,10.340261
1772,9.331151
1773,7.057443
1774,9.200333
1775,14.777376
1776,6.583372
1777,4.564732
1778,10.78399
1779,8.677645
1780,15.710981
1781,11.7406
1782,7.7319727
1783,10.831247
1784,12.866178
1785,4.6378756
1786,10.029703
1787,8.870263
1788,16.581951
1789,5.6539955
1790,5.4174247
1791,3.688929
1792,11.646576
1793,9.192989
1794,10.142208
1795,14.895494
1796,10.627451
1797,14.889402
1798,8.800556
1799,11.1712675
1800,10.170469
1801,5.114354
1802,7.99194
1803,6.338969
1804,5.748455
1805,9.229359
1806,10.675716
1807,8.870001
1808,13.757929
1809,9.59837
1810,8.162047
1811,6.291287
1812,3.8600419
1813,11.7350445
1814,13.306569
1815,18.834528
1816,12.416833
1817,5.393304
1818,9.600388
1819,11.681222
1820,10.398592
1821,16.989695
1822,15.727812
1823,9.20566
1824,9.982848
